symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date
CHEVIOT,Cheviot Company Limited,Consumer Cyclical,Textile Manufacturing,5474051072.0,755139968.0,13.79,85861000.0,6617091584.0,77.14,5.1,7.62,9.5832,0.0,516915008.0,2026-07-11,ok,INR,OK,7703889000.0,,1670416000.0,5.145,1.653,1.216,0.056900002,0.424,,6381297664.0,320919008.0,417168000.0,249720368.0,0.937359,12.804657,2026-07-12
CHOICEIN,Choice International Limited,Financial Services,Capital Markets,10554130432.0,,,9076511744.0,186018381824.0,67.64,21.8,16.24,17.7799,11.9,2176627968.0,2026-07-11,ok,INR,OK,35659864000.0,,13677206000.0,1.967,1.507,49.768,0.07692,-0.374,,170274127872.0,5428152832.0,-2670518016.0,,9.877565,74.6202,2026-07-12
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,131725099008.0,,,2117722046464.0,1543884898304.0,49.2,24.8,19.33,,0.0,52326100992.0,2026-07-11,ok,INR,OK,2454482300000.0,125636600000.0,,2.917,2.836,695.283,0.02339,0.524,,3557875777536.0,100159102976.0,-300207996928.0,,5.051612,29.238234,2026-07-12
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Credit Services,211424591872.0,,,2104864800768.0,310227140608.0,46.87,15.2,18.04,2.7747,0.02,24412899328.0,2026-07-11,ok,INR,OK,2683327200000.0,,2128126900000.0,63.944,63.59,621.271,0.022249999,0.389,,2432609812480.0,166768394240.0,-300327698432.0,,2.007585,12.706506,2026-07-12
CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,Auto Parts,66398801920.0,8760250368.0,13.19,4258800128.0,176137945088.0,66.42,14.9,,13.4286,0.0,3803300096.0,2026-07-11,ok,INR,OK,107567870000.0,36793240000.0,12587480000.0,,,5.71,,,,164031397888.0,16365360128.0,,,2.3613718,20.364035,2026-07-12
CIFL,Capital India Finance Limited,Financial Services,Credit Services,5283716096.0,455268992.0,8.62,9614167040.0,8736197632.0,92.68,-7.0,4.76,-2.7127,0.0,399672992.0,2026-07-11,ok,INR,OK,18456110000.0,,14669549000.0,8.555,1.967,139.224,0.00479,0.454,,15359072256.0,3165153024.0,-2540793088.0,2900743168.0,1.2977809,22.34,2026-07-12
CINELINE,Cineline India Limited,Communication Services,Entertainment,2366961920.0,494679008.0,20.9,1207131008.0,2706020096.0,57.53,13.1,7.73,10.3796,26.47,115158000.0,2026-07-11,ok,INR,OK,3368363000.0,,-208143000.0,0.694,0.174,77.936,0.03874,0.117,,3807427584.0,99012000.0,378299008.0,-89710000.0,1.742767,23.502977,2026-07-12
CINEVISTA,Cinevista Limited,Communication Services,Entertainment,239728992.0,108014000.0,45.06,153604992.0,885670464.0,73.48,-36.4,11.39,14.7914,0.0,60993000.0,2026-07-11,ok,INR,OK,1384881000.0,-1135253000.0,387686000.0,1.582,0.023,27.129,0.046609998,0.28,,1036374464.0,2901000.0,118059000.0,72798000.0,1.5642118,14.547171,2026-07-12
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,278278406144.0,58027900928.0,20.85,6137699840.0,1162812588032.0,31.12,-2.1,11.74,14.8577,0.0,38792298496.0,2026-07-11,ok,INR,OK,424959800000.0,282160000000.0,171334400000.0,3.443,2.283,1.778,0.07575,0.113,,1069461733376.0,100281196544.0,39400198144.0,11400399872.0,3.3768678,30.031296,2026-07-12
CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals,9565469696.0,3550479872.0,37.12,21390000.0,81842855936.0,54.42,-5.5,15.31,19.1655,0.64,2296549888.0,2026-07-11,ok,INR,OK,17829000000.0,,6630110000.0,5.011,3.521,0.135,0.102290004,0.237,,78151565312.0,3753679872.0,2745159936.0,420808736.0,5.1701684,35.584564,2026-07-12
CLEANMAX,CLEAN MAX ENVIRO EN SOL L,Utilities,Utilities - Renewable,19128729600.0,11322219520.0,59.19,126843109376.0,156839264256.0,74.93,25.1,1.96,4.8576,20.02,941320000.0,2026-07-11,ok,INR,OK,230982780000.0,-3874720000.0,-17240950000.0,0.664,0.5,229.641,0.02585,,,252629090304.0,22879569920.0,17312370688.0,-27216705536.0,3.0143335,149.17595,2026-07-12
