symbol,financial_currency,currency_flag,periods_available,ebit,total_liabilities,ni_0,ni_1,cfo_0,cfo_1,ta_0,ta_1,ltd_0,ltd_1,ca_0,ca_1,cl_0,cl_1,rev_0,rev_1,cogs_0,cogs_1,shares_0,shares_1,ar_0,ar_1,ppe_net_0,ppe_net_1,ppe_gross_0,ppe_gross_1,dep_0,dep_1,sga_0,sga_1,sti_0,sti_1,error_reason
RTNPOWER,INR,OK,5,5138700000.0,49752200000.0,524400000.0,2219200000.0,3721800000.0,4099500000.0,96129300000.0,97963100000.0,27283900000.0,32624000000.0,32688900000.0,32423400000.0,14567400000.0,10995200000.0,29913600000.0,32838300000.0,23146100000.0,24265900000.0,5370105860.0,5370105860.0,27573900000.0,24350900000.0,61232700000.0,63220900000.0,61232700000.0,63177400000.0,2463100000.0,2407300000.0,,,2396700000.0,1857800000.0,
RUBFILA,INR,OK,5,372837000.0,690003000.0,266119000.0,294385000.0,-124475000.0,253957000.0,3794753000.0,3584471000.0,,,1974725000.0,1844197000.0,377954000.0,355650000.0,6024996000.0,5504128000.0,4451819000.0,4041209000.0,54267529.0,54267529.0,789294000.0,666816000.0,1752022000.0,1688347000.0,1752022000.0,2919194000.0,109003000.0,108198000.0,,,253845000.0,93289000.0,
RUBICON,INR,OK,1,3627020000.0,10378910000.0,2467350000.0,,2050460000.0,,23267140000.0,,1430230000.0,,16818090000.0,,8358660000.0,,17539560000.0,12842720000.0,5560530000.0,3753930000.0,164750309.0,,5087070000.0,,5078020000.0,,5078020000.0,,452620000.0,,,,1754200000.0,,
RUCHINFRA,INR,OK,5,143600000.0,1096300000.0,100000000.0,16700000.0,337900000.0,235500000.0,3181500000.0,3189506000.0,528700000.0,170748000.0,366400000.0,400007000.0,404400000.0,858636000.0,611800000.0,583600000.0,0.0,5600000.0,236024942.0,236024942.0,59600000.0,111640000.0,2274800000.0,2319434000.0,2274800000.0,2320700000.0,175300000.0,165800000.0,,36131000.0,182200000.0,135117000.0,
RUCHIRA,INR,OK,5,680297000.0,2687073000.0,441430000.0,673268000.0,649197000.0,919397000.0,7637414000.0,6131993000.0,927045000.0,272583000.0,2067909000.0,1869206000.0,1233500000.0,769629000.0,6488039000.0,6592304000.0,4911058000.0,4789757000.0,29844985.0,29844985.0,903134000.0,799924000.0,5508019000.0,4177587000.0,5508019000.0,6368231000.0,177819000.0,170491000.0,167333000.0,160120000.0,,,
RUPA,INR,OK,5,1175844000.0,5482992000.0,724878000.0,832921000.0,452680000.0,586160000.0,16144100000.0,15116161000.0,0.0,21973000.0,13460419000.0,12092007000.0,5193031000.0,4621072000.0,12538570000.0,12340610000.0,8953645000.0,8746135000.0,79524560.0,79524560.0,5779970000.0,5116944000.0,2365271000.0,2441097000.0,2365271000.0,3579160000.0,149993000.0,144913000.0,,933254000.0,2540980000.0,1750673000.0,
RUSHIL,INR,OK,5,409700000.0,6404660000.0,67260000.0,480840000.0,887420000.0,1081410000.0,12913350000.0,12390540000.0,970510000.0,1387670000.0,5300960000.0,5007520000.0,4615200000.0,3819800000.0,8622420000.0,8979440000.0,4698940000.0,4814480000.0,293416820.0,286816820.0,1954400000.0,1869700000.0,7370160000.0,7187640000.0,7370160000.0,8945640000.0,340200000.0,300080000.0,,1026350000.0,50850000.0,46770000.0,
RUSTOMJEE,INR,OK,5,1895800000.0,38281300000.0,788600000.0,1719600000.0,-5090500000.0,-113900000.0,67225700000.0,66494400000.0,4172200000.0,2586900000.0,56318800000.0,56458400000.0,31760700000.0,33400600000.0,26345400000.0,20041000000.0,20877400000.0,14463600000.0,126237116.0,126026323.0,3389900000.0,834500000.0,393700000.0,486600000.0,393700000.0,990600000.0,185100000.0,137300000.0,,1048200000.0,6586900000.0,1416700000.0,
RVHL,INR,OK,5,664322000.0,348257000.0,488910000.0,-25374000.0,357580000.0,-80434000.0,3247470000.0,2855536000.0,,,2646732000.0,2250792000.0,289429000.0,404207000.0,751622000.0,5730000.0,0.0,0.0,61325746.0,61325746.0,89000.0,0.0,487518000.0,409946000.0,487518000.0,616276000.0,23295000.0,21545000.0,,24693000.0,630208000.0,242800000.0,
RVNL,INR,OK,5,16002200000.0,118838900000.0,8746900000.0,12776600000.0,-18939300000.0,18782000000.0,217019900000.0,204817000000.0,43210200000.0,48895000000.0,135753300000.0,116673200000.0,71257600000.0,56522100000.0,204121200000.0,199232500000.0,191871800000.0,184340100000.0,2085020100.0,2085020100.0,53705200000.0,14855900000.0,8860700000.0,8847100000.0,8860700000.0,10839300000.0,501600000.0,472300000.0,,417900000.0,41075000000.0,4420600000.0,
RVTH,INR,OK,5,275700000.0,1272000000.0,138400000.0,201800000.0,-301500000.0,278800000.0,2677100000.0,2384000000.0,0.0,10200000.0,2166700000.0,1969000000.0,1261900000.0,1100000000.0,1429300000.0,1785300000.0,726400000.0,971700000.0,3066943.0,3066943.0,610600000.0,251500000.0,445500000.0,367300000.0,445500000.0,430800000.0,36100000.0,16300000.0,,99800000.0,609000000.0,742600000.0,
S&SPOWER,INR,OK,5,105313000.0,1841813000.0,101124000.0,-37918000.0,-16585000.0,116083000.0,2734173000.0,2215201000.0,225200000.0,205200000.0,1670256000.0,1229519000.0,1260490000.0,964309000.0,2637335000.0,1840581000.0,1760427000.0,1192899000.0,12341550.0,12341550.0,681055000.0,446147000.0,211780000.0,192260000.0,211780000.0,442381000.0,23843000.0,28978000.0,,60830000.0,85864000.0,253000.0,
SAATVIKGL,INR,OK,5,5129560000.0,17537560000.0,3573040000.0,2173330000.0,-267170000.0,426010000.0,31145910000.0,16357440000.0,2108250000.0,1250830000.0,20735550000.0,12612620000.0,14506100000.0,11017760000.0,45484370000.0,21583940000.0,35454100000.0,15906480000.0,127105004.0,127105004.0,6988260000.0,3995170000.0,8349210000.0,3561500000.0,8349210000.0,4057330000.0,641600000.0,311620000.0,,665860000.0,3692210000.0,540000.0,
SADBHAV,INR,OK,5,5923965000.0,58694089000.0,263130000.0,-1894780000.0,7490259000.0,2902271000.0,58602781000.0,66667941000.0,8417958000.0,7441415000.0,53002511000.0,53391359000.0,49928611000.0,60924109000.0,9727285000.0,10364453000.0,2570293000.0,4446980000.0,171570800.0,171570800.0,2798015000.0,1350542000.0,227561000.0,273054000.0,227561000.0,1027507000.0,1391853000.0,1270218000.0,,762216000.0,24838161000.0,204379000.0,
SAFARI,INR,OK,5,2248700000.0,3317300000.0,1677600000.0,1428000000.0,1733600000.0,573200000.0,14464000000.0,13191700000.0,0.0,82200000.0,9048800000.0,8681500000.0,2388100000.0,2760300000.0,20400400000.0,17678300000.0,11291600000.0,9992500000.0,48993927.0,48886544.0,2611100000.0,2429000000.0,4548600000.0,4248700000.0,6304900000.0,5615800000.0,706200000.0,590600000.0,3206800000.0,2699500000.0,2748800000.0,2192100000.0,
SAGARDEEP,INR,OK,4,37279000.0,100060000.0,19236000.0,7646000.0,39083000.0,24006000.0,399975000.0,417817000.0,6567000.0,6567000.0,211252000.0,231844000.0,84614000.0,124853000.0,1248122000.0,995441000.0,1205481000.0,962142000.0,17057400.0,17057400.0,98884000.0,99845000.0,176593000.0,175949000.0,220562000.0,216522000.0,6476000.0,6195000.0,7820000.0,4517000.0,2273000.0,25215000.0,
